# Wordlist

# DATA
ID	DOCULECT	CONCEPT_NAME	CONCEPT	CONCEPTICON_ID	TOKENS	FORM	COGID	ALIGNMENT
118	SK	Knee	KNEE	1371	r a ∼	rãβoʂo	30	r a ∼
524	Tac	Knee	KNEE	1371	d a	e-ma-da-cua	30	d a -
#
280	Ama	Liver	LIVER	1224	t a k a	taka	33	t a k a
478	Ara	Liver	LIVER	1224	t a kʷ a	etákua	33	t a kʷ a
475	Cav	Liver	LIVER	1224	t a kʷ a	e-takwa	33	t a kʷ a
37	Chak	Liver	LIVER	1224	t a k a	taka	33	t a k a
39	Chan	Liver	LIVER	1224	t a k a	taka	33	t a k a
476	Ese	Liver	LIVER	1224	k a kʷ a	e-kakwa	33	k a kʷ a
281	HanKax	Liver	LIVER	1224	t a k a	taka	33	t a k a
35	Kap	Liver	LIVER	1224	t a k a	taka	33	t a k a
278	Kat	Liver	LIVER	1224	t a k a	taka	33	t a k a
38	Kax	Liver	LIVER	1224	t a k a	taka	33	t a k a
284	Kor	Liver	LIVER	1224	t a kʷ a	takʷa	33	t a kʷ a
33	Ksh	Liver	LIVER	1224	t a kʷ a	takʷa	33	t a kʷ a
36	Mar	Liver	LIVER	1224	t a k a	taka	33	t a k a
285	Mat	Liver	LIVER	1224	t a kʷ a	takua	33	t a kʷ a
286	MatMay	Liver	LIVER	1224	t a kʷ a	takʷa	33	t a kʷ a
282	Maw	Liver	LIVER	1224	t a k a	taka	33	t a k a
279	Poy	Liver	LIVER	1224	t a k a	taka	33	t a k a
32	ProPa	Liver	LIVER	1224	t a kʷ a	takʷa	33	t a kʷ a
31	ProPaTa	Liver	LIVER	1224	t a kʷ a	takʷa	33	t a kʷ a
472	ProTa	Liver	LIVER	1224	t a kʷ a	takʷa	33	t a kʷ a
474	ReyMar	Liver	LIVER	1224	t a kʷ a	e-takwa	33	t a kʷ a
277	Shan	Liver	LIVER	1224	t a k a	taka	33	t a k a
40	Shar	Liver	LIVER	1224	t a k a	taka	33	t a k a
34	SK	Liver	LIVER	1224	t a k a	taka	33	t a k a
473	Tac	Liver	LIVER	1224	t a kʷ a	e-takwa	33	t a kʷ a
477	War	Liver	LIVER	1224	t a kʷ e	e-takwe	33	t a kʷ e
283	Yaw	Liver	LIVER	1224	t a k a	taka	33	t a k a
#
435	Ama	Mouth	MOUTH	674	k ɨ ʂ a	kɨʂa	35	k ɨ ʂ a
588	Cav	Mouth	MOUTH	674	kʷ a tʂ a	e-kwaca	35	kʷ a tʂ a
241	Chan	Mouth	MOUTH	674	k ɨ ʃ a	kɨʃa	35	k ɨ ʃ a
589	Ese	Mouth	MOUTH	674	kʷ a s a	e-kwasa	35	kʷ a s a
436	HanKax	Mouth	MOUTH	674	k ɨ ʂ a	kɨʂ̃a	35	k ɨ ʂ a
237	Kap	Mouth	MOUTH	674	k ɨ ʂ a	kɨʂa	35	k ɨ ʂ a
433	Kat	Mouth	MOUTH	674	k ɨ ʂ a	kɨʂa	35	k ɨ ʂ a
239	Kax	Mouth	MOUTH	674	k ɨ ʂ a	kɨʂaka	35	k ɨ ʂ a
